contract_id,title,template_family,vendor_name,entity_name,effective_date,expiry_date,status,signature_status,last_reviewed_date,last_activity_date,governing_paper,business_scope,commercial_model,financial_terms,auto_renewal,standard_terms_alignment,open_source_candidate,risk_flags
DUMMY-001,Master OEM Software License Agreement,OEM license,"Northstar Interface Labs, Inc.",Cisco Systems International B.V.,2014-02-15,2027-02-14,Active,Fully executed,2021-11-09,2024-01-17,Vendor paper,Embedded UI rendering toolkit for enterprise collaboration endpoints.,Per-device royalty,USD 1.85 royalty per shipped hardware endpoint containing the licensed runtime.,Renews automatically for successive 12-month periods unless either party gives 90 days' notice.,Partial alignment; legacy indemnity and audit clauses are vendor-favored.,Potentially replaceable with LVGL plus internal integration effort.,Vendor-favored audit rights | Auto-renewal not actively monitored | No benchmark for price reduction
DUMMY-002,Settlement and Restated OEM Agreement,Settlement + OEM restatement,Bluehaven Contact Technologies LLC,"Cisco Systems, Inc.",2012-08-01,2026-07-31,Active,Fully executed,2020-06-30,2023-10-02,"Mixed; settlement on mutually negotiated paper, base OEM on vendor paper",Contact center call recording and workforce analytics modules bundled into enterprise suites.,Minimum commitment plus usage royalty,"Annual minimum of USD 250,000 credited against variable royalties tied to agent-seat deployments.",Renews for one-year terms unless terminated on 120 days' prior written notice.,Moderate alignment after settlement amendment; data-use rights remain ambiguous.,No direct drop-in open source replacement; partial alternatives exist for analytics only.,Ambiguous affiliate use rights | Legacy settlement obligations survive termination | No documented owner in current operating team
DUMMY-003,Distribution Addendum No. 12,Distribution addendum,Harbor Peak Development Tools GmbH,Cisco Commerce Operations Ltd.,2018-04-10,2026-04-09,Active,Executed,2024-03-21,2024-09-30,Cisco paper,Redistribution rights for code analysis and compression libraries in appliance firmware images.,Quarterly distribution fee,"Quarterly fee of USD 42,000 covering up to 500,000 redistributed units.",No automatic renewal; extension requires written amendment.,Strong alignment; current security and compliance language incorporated.,Compression components may be replaceable with Zstandard-based stack.,Renewal action required before expiry | Unit cap may be exceeded by current shipment forecast
DUMMY-004,Evaluation Agreement for Core Code Library,Evaluation agreement,"SummitRiver Software, Ltd.","Cisco Systems, Inc.",2023-01-09,2023-10-09,Expired,Executed,2023-07-11,2023-07-11,Vendor paper,Short-term evaluation of C++ networking and XML parsing library for prototype firmware.,No-fee evaluation,No license fee during evaluation; production use prohibited absent separate agreement.,No renewal.,Low alignment; confidentiality and residuals clauses are non-standard.,Yes; Boost.Beast and pugixml cover most use cases.,Expired but artifacts may remain in internal repositories | Residual knowledge clause conflicts with preferred terms
DUMMY-005,Software License Agreement,Standalone software license,DeltaForge Packaging Systems,Cisco Systems International B.V.,2016-06-27,2026-06-26,Active,Executed,2019-12-02,2024-05-12,Vendor paper,"File packaging, archive inspection, and secure transfer utilities embedded in support workflows.",Server-based subscription,"USD 96,000 annual subscription for up to 40 production servers and 100 internal users.",Renews automatically for two-year periods absent 60 days' notice.,"Partial alignment; uptime obligations absent, escrow language missing.","Possible phased replacement with 7-Zip, libarchive, and internal signing utilities.",No recent legal review | Vendor paper predates current cyber standards | Renewal may occur without stakeholder visibility
DUMMY-006,Amendment No. 9 to OEM-IN Software License Agreement,OEM amendment,VoiceHarbor Recognition Holdings,"Cisco Systems, Inc.",2021-03-18,2028-03-17,Active,Fully executed,2024-02-01,2025-01-06,Mutual amendment to legacy vendor paper,"Speech recognition, command grammars, and language packs for endpoint voice control.",Royalty by enabled feature and language pack,USD 0.65 per enabled endpoint plus USD 0.08 per installed premium language pack.,Base agreement renews annually; amendment remains effective while base agreement remains active.,"Moderate alignment; AI output ownership clarified, audit rights still broad.","Partial replacement possible with Vosk or Whisper-class models, but embedded footprint is a concern.",Royalty reporting complexity | Broad audit right with 10-day notice | Export-control annex requires annual certification
DUMMY-007,Amendment No. 18 to Audio Codec Software License Agreement,Codec license amendment,Auralink Patent Pool Administration,Cisco Systems International B.V.,2020-12-14,2027-12-31,Active,Executed,2023-09-14,2024-12-19,Vendor paper with Cisco compliance rider,Patent and implementation rights for audio encode/decode functionality in collaboration devices.,Quarterly royalty with shipment reporting,Royalty tiers range from USD 0.11 to USD 0.24 per shipped device depending on volume band.,Extends automatically while covered products continue to ship and royalties are paid.,Partial alignment; termination for patent challenge is unfavorable.,No direct open source substitute for patent grant; implementation alone would not solve licensing need.,Business may confuse codec implementation with patent coverage | Quarterly reporting obligations are manual
DUMMY-008,Amendment No. 26 to Master Agreement,Master agreement amendment,CloudMesa Software Services,"Cisco Systems, Inc.",2022-05-26,2027-05-25,Active,Fully executed,2024-06-11,2025-02-18,Cisco paper,Hosted analytics and case-routing platform supporting post-sales support operations.,SaaS subscription with service credits,USD 1.2M annual subscription; service credits apply if monthly availability falls below 99.9%.,Master term rolls forward annually unless non-renewed with 180 days' notice.,"High alignment; includes security exhibit, DPA, subprocessors, and business continuity terms.","Some workflow functions could shift to Camunda and OpenSearch, but migration cost is high.",Large spend concentration | Subprocessor list updates require operational monitoring
DUMMY-009,Amendment No. 2 to SolutionsPlus Agreement,Resale program amendment,BrightCall Workforce Solutions,Cisco Systems International B.V.,2019-09-03,2026-09-02,Active,Executed,2022-04-27,2024-08-08,Cisco paper,Resale and support alignment for workforce optimization software sold with collaboration solutions.,Reseller discount schedule,Discount bands from 18% to 32% based on quarterly booked revenue thresholds.,Renews for one-year terms unless terminated with 90 days' notice.,High alignment; pricing and support appendices updated to current template.,No single equivalent; scheduling engine could be replaced piecemeal.,Channel margin assumptions may be outdated | Named support contacts no longer current
DUMMY-010,Amendment No. 3 to Software Agreement,Commercial amendment,BrightCall Workforce Solutions,"Cisco Systems, Inc.",2020-11-30,2026-11-29,Active,Fully executed,2021-12-13,2024-02-05,Vendor paper with commercial amendments,"Revision of discount model, support obligations, and migration rights for legacy on-prem deployments.",Blended license maintenance,22% annual maintenance on perpetual licenses; migration credits available toward cloud SKUs.,Renewal follows base agreement schedule.,Moderate alignment; support SLAs improved but liability cap remains asymmetric.,"Limited; reporting and recording functions may have open components, but not full suite parity.",Base contract still uses outdated vendor liability cap | Perpetual-to-cloud conversion rights may be underused
